year,disaster_group,total_count
2016,Natural,52
2015,Natural,20
2014,Natural,10
2013,Natural,10
2012,Natural,25
2011,Natural,24
2010,Natural,35
2009,Natural,60
2008,Natural,65
2007,Natural,48
2006,Natural,18
2005,Natural,21
2004,Natural,9
2003,Natural,41
2002,Natural,39
2001,Natural,16
2000,Natural,15
1999,Natural,32
1998,Natural,18
1997,Natural,16
1996,Natural,24
1995,Natural,21
1994,Natural,19
1993,Natural,21
1992,Natural,25
1991,Natural,21
1990,Natural,16
1989,Natural,21
1988,Natural,20
1987,Natural,9
1986,Natural,23
1985,Natural,12
1984,Natural,23
1983,Natural,28
1982,Natural,22
1981,Natural,13
1980,Natural,8
1979,Natural,16
1978,Natural,11
1977,Natural,9
1976,Natural,15
1975,Natural,11
1974,Natural,16
1973,Natural,12
1972,Natural,6
1971,Natural,16
1970,Natural,9
1969,Natural,11
1968,Natural,11
1967,Natural,8
1966,Natural,5
1965,Natural,7
1964,Natural,14
1963,Natural,7
1962,Natural,8
1961,Natural,8
1960,Natural,8
1959,Natural,10
1958,Natural,5
1957,Natural,3
1956,Natural,2
1955,Natural,6
1954,Natural,4
1953,Natural,17
1952,Natural,1
1951,Natural,5
1950,Natural,6
1949,Natural,1
1948,Natural,5
1947,Natural,6
1946,Natural,2
1944,Natural,1
1942,Natural,2
1941,Natural,8
1940,Natural,1
1939,Natural,1
1938,Natural,3
1937,Natural,2
1936,Natural,17
1935,Natural,3
1934,Natural,1
1933,Natural,9
1931,Natural,3
1930,Natural,4
1929,Natural,6
1928,Natural,4
1927,Natural,14
1925,Natural,1
1924,Natural,3
1923,Natural,2
1922,Natural,4
1921,Natural,3
1920,Natural,5
1919,Natural,3
1918,Natural,16
1917,Natural,4
1916,Natural,3
1915,Natural,5
1914,Natural,5
1913,Natural,2
1912,Natural,7
1911,Natural,1
1910,Natural,6
1909,Natural,3
1908,Natural,1
1905,Natural,2
1904,Natural,1
1903,Natural,2
1902,Natural,1
