year,disaster_type,fatalities
2016,Winter Storm,
2015,Winter Storm,
2013,Winter Storm,6
2010,Winter Storm,1
2008,Winter Storm,0
2007,Winter Storm,0
2006,Winter Storm,0
2005,Winter Storm,0
2004,Winter Storm,0
2003,Winter Storm,0
2001,Winter Storm,6
2000,Winter Storm,0
1999,Winter Storm,13
1998,Winter Storm,109
1996,Winter Storm,0
1995,Winter Storm,1
1994,Winter Storm,6
1993,Winter Storm,198
1992,Winter Storm,0
1986,Winter Storm,2
1984,Winter Storm,0
1983,Winter Storm,0
1982,Winter Storm,117
1980,Winter Storm,3
1978,Winter Storm,8
1977,Winter Storm,0
1976,Winter Storm,2
1973,Winter Storm,12
1972,Winter Storm,0
1971,Winter Storm,0
1970,Winter Storm,0
1969,Winter Storm,15
1968,Winter Storm,0
1967,Winter Storm,0
1966,Winter Storm,0
1964,Winter Storm,78
1959,Winter Storm,6
1958,Winter Storm,0
1947,Winter Storm,0
1944,Winter Storm,21
1942,Winter Storm,203
1941,Winter Storm,228
1935,Winter Storm,0
1921,Winter Storm,0
1914,Winter Storm,77
1905,Winter Storm,0
