month,day,disaster_group,total_count
1,1,Natural,196
1,2,Natural,4
1,3,Natural,2
1,4,Natural,5
1,5,Natural,14
1,6,Natural,4
1,9,Natural,3
1,10,Natural,1
1,11,Natural,1
1,12,Natural,1
1,13,Natural,3
1,14,Natural,2
1,16,Natural,2
1,17,Natural,4
1,18,Natural,1
1,19,Natural,1
1,21,Natural,7
1,23,Natural,4
1,26,Natural,1
1,28,Natural,3
1,29,Natural,1
1,30,Natural,5
2,1,Natural,4
2,2,Natural,10
2,4,Natural,1
2,5,Natural,2
2,8,Natural,2
2,9,Natural,1
2,10,Natural,1
2,11,Natural,2
2,13,Natural,3
2,14,Natural,3
2,15,Natural,6
2,16,Natural,4
2,17,Natural,1
2,18,Natural,4
2,19,Natural,1
2,21,Natural,1
2,22,Natural,2
2,23,Natural,2
2,24,Natural,5
2,25,Natural,1
2,27,Natural,1
2,28,Natural,3
3,1,Natural,24
3,4,Natural,2
3,5,Natural,3
3,6,Natural,3
3,9,Natural,3
3,10,Natural,2
3,11,Natural,1
3,12,Natural,3
3,13,Natural,16
3,14,Natural,3
3,15,Natural,6
3,16,Natural,2
3,17,Natural,1
3,18,Natural,2
3,19,Natural,2
3,21,Natural,2
3,22,Natural,2
3,23,Natural,3
3,24,Natural,12
3,27,Natural,2
3,28,Natural,5
3,30,Natural,3
3,31,Natural,8
4,1,Natural,38
4,2,Natural,1
4,3,Natural,2
4,4,Natural,2
4,5,Natural,6
4,6,Natural,2
4,7,Natural,1
4,9,Natural,1
4,12,Natural,1
4,13,Natural,3
4,14,Natural,5
4,15,Natural,3
4,16,Natural,3
4,17,Natural,8
4,18,Natural,8
4,19,Natural,5
4,20,Natural,5
4,21,Natural,1
4,22,Natural,4
4,23,Natural,3
4,24,Natural,4
4,25,Natural,7
4,26,Natural,2
4,27,Natural,5
4,28,Natural,2
4,29,Natural,6
4,30,Natural,4
5,1,Natural,15
5,2,Natural,2
5,3,Natural,4
5,4,Natural,6
5,5,Natural,3
5,7,Natural,1
5,8,Natural,1
5,9,Natural,4
5,10,Natural,2
5,11,Natural,3
5,12,Natural,2
5,13,Natural,2
5,14,Natural,10
5,15,Natural,6
5,16,Natural,3
5,17,Natural,4
5,18,Natural,2
5,19,Natural,5
5,20,Natural,6
5,21,Natural,2
5,22,Natural,1
5,23,Natural,2
5,24,Natural,2
5,25,Natural,5
5,27,Natural,4
5,28,Natural,5
5,29,Natural,6
5,30,Natural,3
5,31,Natural,3
