city,disaster_group,fatalities
Abbotsford,Technology,
Across Toron,Technology,0
Aldershot,Technology,12
Almonte,Technology,36
Amherstburg,Technology,0
Bellefleur,Technology,0
Boisbriand,Technology,0
Brantford,Technology,1
Brookdale,Technology,
Burlington,Technology,3
Cabano,Technology,0
Calgary,Technology,2
Canning,Technology,0
Canoe River,Technology,21
Canso,Technology,0
Cape Breton,Technology,20
Carbonado,Technology,14
Chedabucto Bay,Technology,0
Chetwynd,Technology,0
Cincinnati. Ohio,Technology,23
Coalmont,Technology,45
Cochrane,Technology,0
Come by Chance,Technology,0
Comox,Technology,51
Coniston,Technology,9
Corunna,Technology,0
Courtland,Technology,0
Cranberry,Technology,32
Cranbrook,Technology,43
Crowsnest Pass,Technology,15
Curling,Technology,0
Dartmouth,Technology,1963
Dryden,Technology,24
Dugald,Technology,31
Dundas,Technology,0
Dunnville,Technology,13
Eastman,Technology,41
Edmonton,Technology,0
Emerson,Technology,0
Estevan,Technology,20
Fernie,Technology,259
Fort Frances,Technology,0
Gainsford,Technology,0
Galiano Island,Technology,0
Gander,Technology,289
Glace Bay,Technology,12
Glovertown,Technology,0
Gogama,Technology,
Grand Coulee,Technology,0
Grand Forks,Technology,80
Haines,Technology,0
Halifax,Technology,1963
Hamilton,Technology,0
Harrow,Technology,0
Hervey Junction,Technology,0
Hillcrest,Technology,189
Hinton,Technology,23
Hull,Technology,7
Jarvis,Technology,0
Kingsville,Technology,0
Kinsella,Technology,4
Kirkland Lake,Technology,2
La Baie,Technology,2
Lac-Mégantic,Technology,
Lake Huron,Technology,28
Lanark,Technology,0
Lang,Technology,
Lasalle,Technology,39
Les Éboulements,Technology,43
Lethbridge,Technology,0
Linton,Technology,0
Liverpool,Technology,0
Lodgepole,Technology,2
Long Lake,Technology,
Longlac,Technology,0
Louiseville,Technology,22
L’Isle-Verte,Technology,32
Mattagami First Nation,Technology,
Medonte,Technology,0
Merville,Technology,
Millwoods,Technology,0
Mississauga,Technology,21
Montreal,Technology,96
Montréal,Technology,12
Moose Jaw,Technology,37
Moose River,Technology,1
Mounte Slesse,Technology,62
Nanaimo,Technology,22
Near the North Pole,Technology,18
New Waterford,Technology,65
Niagara Falls,Technology,0
Niverville,Technology,0
North York,Technology,0
Northeast of Vancouver,Technology,52
Northwest Territories,Technology,0
Notre-Dame-du-Lac,Technology,38
Oakville,Technology,0
Off Cape Beale,Technology,1
Orillia,Technology,0
Ottawa,Technology,24
Peggy's Cove,Technology,229
Petty Harbour,Technology,21
Pictou County,Technology,107
Pikangikum First Nation,Technology,9
Pincher Creek,Technology,0
Plymouth,Technology,26
Port au Choix,Technology,0
Port-aux-Basques,Technology,0
Portage la Prairie,Technology,0
Quebec City,Technology,184
Quesnel Lake,Technology,0
Rae Point,Technology,32
Regina,Technology,
Resolute Bay,Technology,12
Rimouski,Technology,0
Rogers Pass,Technology,6
Saint John,Technology,20
Saint-Basile-le-Grand,Technology,0
Saint-Donat,Technology,24
Saint-Jacques,Technology,1
Saint-Léonard d'Aston,Technology,0
Saint-Romuald,Technology,0
Sainte-Anne des Plaines,Technology,0
Sainte-Thérèse-de-Blainville,Technology,118
Sarnia,Technology,0
Seaforth Channel,Technology,
Shubenacadie,Technology,0
Smiths Falls,Technology,0
Southwest,Technology,0
Spanish River,Technology,63
Springhill,Technology,114
St-Eustache,Technology,0
St-Hilaire,Technology,2
St. John's,Technology,0
St. Johns,Technology,47
St. Lawrence,Technology,75
St. Lawrence River,Technology,1024
St. Lazare,Technology,0
St.-Amable,Technology,0
Stoney Creek,Technology,0
Sudbury,Technology,2
Sydney,Technology,0
Sydney Mines,Technology,20
Taylor,Technology,0
Thamesville,Technology,2
Timmins,Technology,0
Toronto,Technology,232
Toyko,Technology,64
Trenton,Technology,0
Truro,Technology,0
Tyendinaga Township First Nation,Technology,
Vancouver,Technology,18
Vancouver Harbour,Technology,0
Vancouver Island,Technology,126
Victoria,Technology,444
Webb,Technology,22
Wellington,Technology,35
Westmount,Technology,0
Windsor,Technology,18
Winnipeg,Technology,
Zama City,Technology,0
unknown,Technology,261
