year,disaster_group,evacuated,province
1911,Natural,200,Ontario
1912,Natural,0,Ontario
1913,Natural,0,Ontario
1916,Natural,16000,Ontario
1918,Natural,0,Ontario
1920,Natural,0,Ontario
1922,Natural,11000,Ontario
1927,Natural,0,Ontario
1929,Natural,0,Ontario
1930,Natural,0,Ontario
1936,Natural,0,Ontario
1937,Natural,4000,Ontario
1938,Natural,310,Ontario
1940,Natural,0,Ontario
1941,Natural,0,Ontario
1944,Natural,0,Ontario
1946,Natural,0,Ontario
1947,Natural,0,Ontario
1948,Natural,0,Ontario
1950,Natural,0,Ontario
1953,Natural,500,Ontario
1954,Natural,7472,Ontario
1955,Natural,0,Ontario
1956,Natural,0,Ontario
1960,Natural,0,Ontario
1961,Natural,0,Ontario
1963,Natural,0,Ontario
1964,Natural,0,Ontario
1965,Natural,0,Ontario
1967,Natural,0,Ontario
1968,Natural,0,Ontario
1970,Natural,0,Ontario
1973,Natural,0,Ontario
1974,Natural,0,Ontario
1975,Natural,0,Ontario
1976,Natural,0,Ontario
1977,Natural,0,Ontario
1978,Natural,0,Ontario
1979,Natural,0,Ontario
1980,Natural,5000,Ontario
1981,Natural,0,Ontario
1982,Natural,0,Ontario
1983,Natural,0,Ontario
1984,Natural,150,Ontario
1985,Natural,830,Ontario
1986,Natural,129,Ontario
1987,Natural,850,Ontario
1988,Natural,500,Ontario
1989,Natural,2000,Ontario
1990,Natural,0,Ontario
1991,Natural,0,Ontario
1992,Natural,1000,Ontario
1993,Natural,0,Ontario
1994,Natural,0,Ontario
1995,Natural,50,Ontario
1996,Natural,0,Ontario
1997,Natural,3069,Ontario
1998,Natural,23422,Ontario
1999,Natural,319,Ontario
2000,Natural,0,Ontario
2001,Natural,0,Ontario
2002,Natural,7110,Ontario
2003,Natural,0,Ontario
2004,Natural,1700,Ontario
2005,Natural,1300,Ontario
2006,Natural,1100,Ontario
2007,Natural,300,Ontario
2008,Natural,3418,Ontario
2009,Natural,0,Ontario
2010,Natural,625,Ontario
2011,Natural,3723,Ontario
2012,Natural,3013,Ontario
2013,Natural,150,Ontario
2015,Natural,,Ontario
2016,Natural,1407,Ontario
