year,evacuated,province
1900,15000,Ontario
1904,0,Ontario
1910,0,Ontario
1911,200,Ontario
1912,0,Ontario
1913,0,Ontario
1916,16000,Ontario
1918,0,Ontario
1920,0,Ontario
1922,11000,Ontario
1927,0,Ontario
1929,0,Ontario
1930,0,Ontario
1936,0,Ontario
1937,4000,Ontario
1938,310,Ontario
1940,0,Ontario
1941,0,Ontario
1942,0,Ontario
1943,0,Ontario
1944,0,Ontario
1946,0,Ontario
1947,0,Ontario
1948,0,Ontario
1949,0,Ontario
1950,0,Ontario
1951,0,Ontario
1953,500,Ontario
1954,7472,Ontario
1955,0,Ontario
1956,0,Ontario
1959,122,Ontario
1960,0,Ontario
1961,0,Ontario
1963,0,Ontario
1964,0,Ontario
1965,0,Ontario
1966,0,Ontario
1967,0,Ontario
1968,0,Ontario
1969,0,Ontario
1970,0,Ontario
1973,0,Ontario
1974,0,Ontario
1975,0,Ontario
1976,0,Ontario
1977,0,Ontario
1978,0,Ontario
1979,230000,Ontario
1980,5600,Ontario
1981,0,Ontario
1982,1400,Ontario
1983,0,Ontario
1984,350,Ontario
1985,1030,Ontario
1986,6129,Ontario
1987,850,Ontario
1988,1000,Ontario
1989,2550,Ontario
1990,1700,Ontario
1991,6300,Ontario
1992,1800,Ontario
1993,0,Ontario
1994,0,Ontario
1995,50,Ontario
1996,0,Ontario
1997,7069,Ontario
1998,23422,Ontario
1999,319,Ontario
2000,0,Ontario
2001,0,Ontario
2002,10080,Ontario
2003,300,Ontario
2004,1700,Ontario
2005,1300,Ontario
2006,2100,Ontario
2007,2645,Ontario
2008,16318,Ontario
2009,0,Ontario
2010,625,Ontario
2011,3723,Ontario
2012,3013,Ontario
2013,150,Ontario
2014,0,Ontario
2015,,Ontario
2016,1407,Ontario
