DisasterKey,DisasterType,DisasterSubgroup,DisasterGroup,DisasterCategory,Magnitude,UtilityPeopleAffected
1,Non-Residential,Fire,Technology,Incident,0.0,0
2,Non-Residential,Explosion,Technology,Incident,0.0,0
3,Manufacturing / Industry,Infrastructure failure,Technology,Incident,0.0,0
4,Flood,Meteorological - Hydrological,Natural,Disaster,0.0,0
5,Landslide,Geological,Natural,Disaster,0.0,0
6,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0.0,0
7,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0.0,0
8,Marine,Transportation accident,Technology,Incident,0.0,0
9,Transportation,Infrastructure failure,Technology,Incident,0.0,0
10,Residential,Fire,Technology,Incident,0.0,0
11,Drought,Meteorological - Hydrological,Natural,Disaster,0.0,0
12,Rail,Transportation accident,Technology,Incident,0.0,0
13,Avalanche,Meteorological - Hydrological,Natural,Disaster,0.0,0
14,Wildfire,Meteorological - Hydrological,Natural,Disaster,0.0,0
15,Tornado,Meteorological - Hydrological,Natural,Disaster,0.0,0
16,Heat Event,Meteorological - Hydrological,Natural,Disaster,0.0,0
17,Epidemic,Biological,Natural,Disaster,0.0,0
18,Fire,Hazardous Chemicals,Technology,Incident,0.0,0
19,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0.0,18270270
20,Derailment Release,Hazardous Chemicals,Technology,Incident,0.0,0
21,Marine Release,Hazardous Chemicals,Technology,Incident,0.0,0
22,Leak / Spill Release,Hazardous Chemicals,Technology,Incident,0.0,0
23,Storm - Unspecified / Other,Meteorological - Hydrological,Natural,Disaster,0.0,0
24,Heat Event,Meteorological - Hydrological,Natural,Disaster,0.0,128169014
25,Earthquake,Geological,Natural,Disaster,6.0,0
26,Cold Event,Meteorological - Hydrological,Natural,Disaster,0.0,0
27,Air,Transportation accident,Technology,Incident,0.0,0
28,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0.0,0
29,Vehicle Release,Hazardous Chemicals,Technology,Incident,0.0,0
30,Non-Residential,Arson,Conflict,Incident,0.0,0
31,Tornado,Meteorological - Hydrological,Natural,Disaster,0.0,1560000
32,Disturbance / Demonstrations,Civil Incident,Conflict,Incident,0.0,0
33,Flood,Meteorological - Hydrological,Natural,Disaster,0.0,412941
34,Flood,Meteorological - Hydrological,Natural,Disaster,0.0,4150761
35,Bomb Attacks,Terrorist,Conflict,Incident,0.0,0
36,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0.0,3189873
37,Tornado,Meteorological - Hydrological,Natural,Disaster,0.0,2895455
38,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0.0,240000
39,Vehicle,Transportation accident,Technology,Incident,0.0,0
40,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0.0,4828750
41,Communications,Infrastructure failure,Technology,Incident,0.0,0
42,Infestation,Biological,Natural,Disaster,0.0,0
43,Storm Surge,Meteorological - Hydrological,Natural,Disaster,0.0,0
44,Air,Hijacking,Conflict,Incident,0.0,0
45,Water,Infrastructure failure,Technology,Incident,0.0,0
46,Energy,Infrastructure failure,Technology,Incident,0.0,0
47,Hurricane / Typhoon / Tropical Storm,Meteorological - Hydrological,Natural,Disaster,0.0,300000
