StartDateKey,EndDateKey,LocationKey,DisasterKey,DescriptionKey,CostsKey,PopStatsKey,NumFatalities,NumInjured,NumEvacuated
1,1,1,1,1,1,2,7,0,15000
1,1,2,1,1,1,1,7,0,15000
2,2,3,2,2,1,1,64,0,0
2,2,4,3,3,1,1,16,0,0
3,3,5,2,4,1,1,32,0,0
4,4,6,4,5,1,1,2,0,0
5,5,7,2,6,1,1,125,0,0
6,6,3,2,7,1,1,16,0,0
7,7,8,5,8,1,1,70,23,0
8,8,9,2,9,1,1,14,0,0
9,9,10,6,10,2,3,0,0,0
10,10,11,6,11,3,4,0,0,0
11,11,12,5,12,1,1,0,0,0
12,12,13,1,13,1,5,0,0,0
13,13,14,4,14,1,1,0,0,0
14,15,15,7,15,1,6,0,0,0
16,16,16,5,16,1,1,15,0,0
17,17,17,8,17,1,1,126,0,0
18,18,18,9,18,1,1,75,0,0
19,19,19,5,19,1,1,33,0,0
20,21,7,10,20,1,1,100,0,6000
22,22,20,4,21,1,1,1,0,0
23,23,21,5,22,1,7,22,15,0
23,23,22,5,22,1,8,22,15,0
24,24,10,11,23,4,3,0,0,0
24,24,23,11,23,4,9,0,0,0
24,24,24,11,23,4,10,0,0,0
25,25,25,12,24,1,1,63,20,0
26,26,26,13,25,1,1,62,0,0
27,27,27,5,26,1,1,4,0,0
28,28,28,5,27,1,1,6,0,0
29,29,29,14,28,1,11,73,0,200
30,30,23,15,29,1,9,28,100,2500
31,32,30,16,30,1,12,3,0,0
31,32,31,16,30,1,1,3,0,0
31,32,15,16,30,1,6,3,0,0
31,32,13,16,30,1,5,3,0,0
31,32,32,16,30,1,13,3,0,0
31,32,18,16,30,1,1,3,0,0
33,34,33,6,31,1,1,270,0,0
33,34,34,6,31,1,1,270,0,0
35,35,31,6,32,1,1,173,0,0
35,35,10,11,33,4,3,0,0,0
35,35,23,11,33,4,9,0,0,0
35,35,24,11,33,4,10,0,0,0
36,36,31,7,34,1,1,77,0,0
37,37,35,8,35,1,1,1024,0,0
38,38,36,2,36,1,1,189,48,0
39,39,23,4,37,1,9,0,0,2000
39,39,23,4,37,1,9,0,0,2000
39,39,37,2,38,1,14,22,0,0
40,40,4,3,39,1,1,19,0,0
41,41,38,5,40,1,1,56,22,0
41,41,39,5,40,1,1,56,22,0
42,43,40,4,41,1,1,0,0,0
44,44,1,10,42,1,2,7,0,0
45,45,24,4,43,1,10,0,0,0
46,46,29,14,44,1,11,233,0,8000
46,46,41,14,44,1,1,233,0,8000
47,47,18,9,45,1,1,13,0,0
48,48,7,2,46,1,1,34,0,0
48,48,10,11,47,4,3,0,0,0
48,48,23,11,47,4,9,0,0,0
48,48,24,11,47,4,10,0,0,0
49,49,42,2,48,1,1,65,0,0
50,51,43,4,49,1,1,0,0,0
52,52,15,8,50,1,6,1963,9000,6000
52,52,44,8,50,1,15,1963,9000,6000
53,54,10,17,51,1,3,50000,2000000,0
53,54,23,17,51,1,9,50000,2000000,0
53,54,24,17,51,1,10,50000,2000000,0
53,54,30,17,51,1,12,50000,2000000,0
53,54,15,17,51,1,6,50000,2000000,0
53,54,32,17,51,1,13,50000,2000000,0
53,54,31,17,51,1,1,50000,2000000,0
53,54,13,17,51,1,5,50000,2000000,0
53,54,18,17,51,1,1,50000,2000000,0
53,54,45,17,51,1,16,50000,2000000,0
